SC	C	MA	MC	BA	BC	FA	FC
100	100	0	0	0	255	0	0
94	100	13	0	0	255	15	0
88	100	29	0	0	255	30	0
82	100	44	0	0	255	45	0
76	100	59	0	0	255	60	0
70	100	75	0	0	255	75	0
64	100	90	0	0	255	90	0
58	100	105	0	0	255	105	0
53	100	118	0	0	255	120	0
47	100	134	0	0	255	135	0
41	100	149	0	0	255	150	0
35	100	164	0	0	255	165	0
29	100	180	0	0	255	180	0
23	100	195	0	0	255	195	0
17	100	210	0	0	255	210	0
12	100	223	0	0	255	225	0
6	100	239	0	0	255	240	0
0	100	254	0	0	255	255	0
109	100	15	255	15	255	0	0
102	100	4	255	15	255	15	0
96	100	8	0	15	255	30	0
89	100	26	0	15	255	45	0
83	100	41	0	15	255	60	0
77	100	57	0	15	255	75	0
70	100	75	0	15	255	90	0
64	100	90	0	15	255	105	0
57	100	108	0	15	255	120	0
51	100	123	0	15	255	135	0
45	100	139	0	15	255	150	0
38	100	157	0	15	255	165	0
32	100	172	0	15	255	180	0
25	100	190	0	15	255	195	0
19	100	205	0	15	255	210	0
13	100	221	0	15	255	225	0
6	100	239	0	15	255	240	0
0	100	254	0	15	255	255	0
118	100	30	255	30	255	0	0
111	100	19	255	30	255	15	0
104	100	7	255	30	255	30	0
97	100	6	0	30	255	45	0
90	100	24	0	30	255	60	0
83	100	41	0	30	255	75	0
76	100	59	0	30	255	90	0
69	100	77	0	30	255	105	0
62	100	95	0	30	255	120	0
55	100	113	0	30	255	135	0
48	100	131	0	30	255	150	0
41	100	149	0	30	255	165	0
35	100	164	0	30	255	180	0
28	100	182	0	30	255	195	0
21	100	200	0	30	255	210	0
14	100	218	0	30	255	225	0
7	100	236	0	30	255	240	0
0	100	254	0	30	255	255	0
127	100	45	255	45	255	0	0
119	100	32	255	45	255	15	0
112	100	20	255	45	255	30	0
104	100	7	255	45	255	45	0
97	100	6	0	45	255	60	0
89	100	26	0	45	255	75	0
82	100	44	0	45	255	90	0
74	100	65	0	45	255	105	0
67	100	82	0	45	255	120	0
60	100	100	0	45	255	135	0
52	100	121	0	45	255	150	0
45	100	139	0	45	255	165	0
37	100	159	0	45	255	180	0
30	100	177	0	45	255	195	0
22	100	198	0	45	255	210	0
15	100	216	0	45	255	225	0
7	100	236	0	45	255	240	0
0	100	254	0	45	255	255	0
136	100	60	255	60	255	0	0
128	100	47	255	60	255	15	0
120	100	34	255	60	255	30	0
112	100	20	255	60	255	45	0
104	100	7	255	60	255	60	0
96	100	8	0	60	255	75	0
88	100	29	0	60	255	90	0
80	100	49	0	60	255	105	0
72	100	70	0	60	255	120	0
64	100	90	0	60	255	135	0
56	100	111	0	60	255	150	0
48	100	131	0	60	255	165	0
40	100	152	0	60	255	180	0
32	100	172	0	60	255	195	0
24	100	193	0	60	255	210	0
16	100	213	0	60	255	225	0
8	100	233	0	60	255	240	0
